"REF_DATE","GEO","DGUID","Homicides","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1999","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","539","","","","0"
"2000","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","546","","","","0"
"2001","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","553","","","","0"
"2002","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","582","","","","0"
"2003","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","551","","","","0"
"2004","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","625","","","","0"
"2005","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","664","","","","0"
"2006","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","608","","","","0"
"2007","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","597","","","","0"
"2008","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","614","","","","0"
"2009","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","611","","","","0"
"2010","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","558","","","","0"
"2011","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","609","","","","0"
"2012","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","548","","","","0"
"2013","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","511","","","","0"
"2014","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","525","","","","0"
"2015","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","612","","","","0"
"2016","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","617","","","","0"
"2017","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","668","","","","0"
"2018","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","665","","","","0"
"2019","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","689","","","","0"
"2020","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","764","","","","0"
"2021","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","796","","","","0"
"2022","Canada","2016A000011124","Number of homicide victims","Number","223","units","0","v1489194","30.1","874","","","","0"
"1981","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","71","","","","0"
"1982","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","61","","","","0"
"1983","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","60","","","","0"
"1984","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","73","","","","0"
"1985","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","72","","","","0"
"1986","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","46","","","","0"
"1987","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","76","","","","0"
"1988","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","68","","","","0"
"1989","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","73","","","","0"
"1990","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","72","","","","0"
"1991","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","103","","","","0"
"1992","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","90","","","","0"
"1993","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","71","","","","0"
"1994","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","85","","","","0"
"1995","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","74","","","","0"
"1996","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","80","","","","0"
"1997","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","84","","","","0"
"1998","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","76","","","","0"
"1999","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","61","","","","0"
"2000","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","82","","","","0"
"2001","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","78","","","","0"
"2002","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","90","","","","0"
"2003","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","95","","","","0"
"2004","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","95","","","","0"
"2005","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","104","","","","0"
"2006","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","98","","","","0"
"2007","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","112","","","","0"
"2008","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","103","","","","0"
"2009","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","90","","","","0"
"2010","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","81","","","","0"
"2011","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","86","","","","0"
"2012","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","80","","","","0"
"2013","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","80","","","","0"
"2014","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","82","","","","0"
"2015","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","82","","","","0"
"2016","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","96","","","","0"
"2017","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","93","","","","0"
"2018","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","145","","","","0"
"2019","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","130","","","","0"
"2020","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","105","","","","0"
"2021","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","119","","","","0"
"2022","Toronto, Ontario","2021A003535535","Number of homicide victims","Number","223","units","0","v1489136","1.1","136","","","","0"
"1981","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","111","","","","0"
"1982","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","113","","","","0"
"1983","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","116","","","","0"
"1984","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","114","","","","0"
"1985","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","105","","","","0"
"1986","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","87","","","","0"
"1987","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","88","","","","0"
"1988","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","71","","","","0"
"1989","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","123","","","","0"
"1990","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","105","","","","0"
"1991","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","105","","","","0"
"1992","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","105","","","","0"
"1993","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","105","","","","0"
"1994","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","75","","","","0"
"1995","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","77","","","","0"
"1996","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","75","","","","0"
"1997","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","73","","","","0"
"1998","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","65","","","","0"
"1999","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","71","","","","0"
"2000","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","75","","","","0"
"2001","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","78","","","","0"
"2002","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","66","","","","0"
"2003","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","57","","","","0"
"2004","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","63","","","","0"
"2005","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","48","","","","0"
"2006","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","52","","","","0"
"2007","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","59","","","","0"
"2008","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","48","","","","0"
"2009","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","44","","","","0"
"2010","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","51","","","","0"
"2011","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","54","","","","0"
"2012","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","47","","","","0"
"2013","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","43","","","","0"
"2014","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","38","","","","0"
"2015","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","47","","","","0"
"2016","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","42","","","","0"
"2017","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","46","","","","0"
"2018","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","47","","","","0"
"2019","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","45","","","","0"
"2020","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","42","","","","0"
"2021","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","48","","","","0"
"2022","Montréal, Quebec","2021A003524462","Number of homicide victims","Number","223","units","0","v1489138","2.1","65","","","","0"
"1981","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","49","","","","0"
"1982","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","56","","","","0"
"1983","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","44","","","","0"
"1984","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","44","","","","0"
"1985","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","66","","","","0"
"1986","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","43","","","","0"
"1987","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","44","","","","0"
"1988","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","35","","","","0"
"1989","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","44","","","","0"
"1990","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","54","","","","0"
"1991","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","64","","","","0"
"1992","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","61","","","","0"
"1993","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","62","","","","0"
"1994","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","48","","","","0"
"1995","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","64","","","","0"
"1996","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","56","","","","0"
"1997","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","53","","","","0"
"1998","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","45","","","","0"
"1999","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","57","","","","0"
"2000","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","42","","","","0"
"2001","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","44","","","","0"
"2002","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","69","","","","0"
"2003","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","45","","","","0"
"2004","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","57","","","","0"
"2005","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","62","","","","0"
"2006","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","56","","","","0"
"2007","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","55","","","","0"
"2008","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","55","","","","0"
"2009","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","60","","","","0"
"2010","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","36","","","","0"
"2011","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","43","","","","0"
"2012","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","38","","","","0"
"2013","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","41","","","","0"
"2014","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","46","","","","0"
"2015","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","47","","","","0"
"2016","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","41","","","","0"
"2017","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","52","","","","0"
"2018","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","46","","","","0"
"2019","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","41","","","","0"
"2020","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","46","","","","0"
"2021","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","60","","","","0"
"2022","Vancouver, British Columbia","2021A003559933","Number of homicide victims","Number","223","units","0","v1489140","3.1","73","","","","0"
"1981","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","16","","","","0"
"1982","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","13","","","","0"
"1983","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","18","","","","0"
"1984","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","10","","","","0"
"1985","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","16","","","","0"
"1986","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","13","","","","0"
"1987","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","22","","","","0"
"1988","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","13","","","","0"
"1989","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","10","","","","0"
"1990","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","15","","","","0"
"1991","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","19","","","","0"
"1992","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","35","","","","0"
"1993","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","10","","","","0"
"1994","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","18","","","","0"
"1995","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","18","","","","0"
"1996","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","11","","","","0"
"1997","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","9","","","","0"
"1998","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","19","","","","0"
"1999","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","13","","","","0"
"2000","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","16","","","","0"
"2001","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","15","","","","0"
"2002","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","15","","","","0"
"2003","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","11","","","","0"
"2004","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","20","","","","0"
"2005","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","25","","","","0"
"2006","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","26","","","","0"
"2007","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","37","","","","0"
"2008","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","34","","","","0"
"2009","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","25","","","","0"
"2010","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","15","","","","0"
"2011","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","14","","","","0"
"2012","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","20","","","","0"
"2013","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","25","","","","0"
"2014","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","32","","","","0"
"2015","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","40","","","","0"
"2016","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","33","","","","0"
"2017","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","31","","","","0"
"2018","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","20","","","","0"
"2019","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","24","","","","0"
"2020","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","38","","","","0"
"2021","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","22","","","","0"
"2022","Calgary, Alberta","2021A003548825","Number of homicide victims","Number","223","units","0","v1489144","5.1","29","","","","0"
"1981","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","23","","","","0"
"1982","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","21","","","","0"
"1983","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","25","","","","0"
"1984","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","22","","","","0"
"1985","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","19","","","","0"
"1986","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","23","","","","0"
"1987","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","29","","","","0"
"1988","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","32","","","","0"
"1989","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","31","","","","0"
"1990","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","29","","","","0"
"1991","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","25","","","","0"
"1992","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","33","","","","0"
"1993","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","27","","","","0"
"1994","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","24","","","","0"
"1995","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","19","","","","0"
"1996","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","20","","","","0"
"1997","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","28","","","","0"
"1998","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","22","","","","0"
"1999","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","20","","","","0"
"2000","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","19","","","","0"
"2001","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","25","","","","0"
"2002","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","27","","","","0"
"2003","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","22","","","","0"
"2004","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","34","","","","0"
"2005","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","44","","","","0"
"2006","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","39","","","","0"
"2007","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","36","","","","0"
"2008","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","40","","","","0"
"2009","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","30","","","","0"
"2010","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","32","","","","0"
"2011","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","53","","","","0"
"2012","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","33","","","","0"
"2013","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","27","","","","0"
"2014","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","40","","","","0"
"2015","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","38","","","","0"
"2016","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","47","","","","0"
"2017","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","49","","","","0"
"2018","Edmonton, Alberta","2021A003548835","Number of homicide victims","Number","223","units","0","v1489146","6.1","38","","","","0"
